id,  wmo,   startdt,  enddt,    lat,   lon
asb, 10103, 20180227,         , 53.564,  6.748
boo, 10132, 20140123,         , 54.004, 10.046
drs, 10488, 20000324,         , 51.124, 13.768
eis, 10780, 19970918,         , 49.540, 12.402
ess, 10410, 19910321,         , 51.405,  6.967
fbg, 10908, 19970620,         , 47.873,  8.003
fld, 10440, 20040607,         , 51.311,  8.802
hnr, 10339, 20140729,         , 52.460,  9.694
isn, 10873, 20140122,         , 48.174, 12.101
mem, 10950, 20130403,         , 48.042, 10.219
neu, 10557, 19941201,         , 50.500, 11.135
nhb, 10605, 19980717,         , 50.109,  6.548
oft, 10629, 20110215,         , 49.984,  8.712
pro, 10392, 20140123,         , 52.648, 13.858
ros, 10169, 19950102,         , 54.175, 12.058
tur, 10832, 19981022,         , 48.585,  9.782
umd, 10356, 19960625,         , 52.160, 11.176
bxp, 99990, 20000101,         , 50.731,  7.071 
jxp, 99991, 20000101,         , 50.929,  6.457
hoh, 99992, 20000101,         , 47.801, 11.009
kit, 99993, 20000101,         , 49.092,  8.437
