id,  wmo,   startdt,  enddt,    lat,   lon
asb, 10103, 20180227,         , 53.564,  6.748
asd, 10487, 20140731, 20150317, 51.124, 13.763
ase, 10412, 20100304, 20120411, 51.405,  6.963
asf, 10907, 20120613, 20121120, 47.872,  8.006
asw, 10089, 20130930, 20140611, 54.173, 12.107
bln, 10384, 19910314, 20140123, 52.477, 13.386
boo, 10132, 20140123,         , 54.004, 10.046
drs, 10488, 20000324,         , 51.124, 13.768
eis, 10780, 19970918,         , 49.540, 12.402
emd, 10204, 19941216, 20180227, 53.338,  7.023
ess, 10410, 19910321,         , 51.405,  6.967
fbg, 10908, 19970620,         , 47.873,  8.003
fld, 10434, 19971010, 20040510, 51.335,  8.852
fld, 10440, 20040607,         , 51.311,  8.802
fra, 10637, 19880328, 20070704, 50.051,  8.568
fri, 10630, 20040704, 20110215, 50.022,  8.558
ham, 10147, 19900607, 20140123, 53.621,  9.984
han, 10338, 19941125, 20140729, 52.463,  9.698
hnr, 10339, 20140729,         , 52.460,  9.694
isn, 10873, 20140122,         , 48.174, 12.101
mem, 10950, 20130403,         , 48.042, 10.219
muc, 10871, 19920122, 20140122, 48.336, 11.611
neu, 10557, 19941201,         , 50.500, 11.135
nhb, 10605, 19980717,         , 50.109,  6.548
oft, 10629, 20110215,         , 49.984,  8.712
pro, 10392, 20140123,         , 52.648, 13.858
ros, 10169, 19950102,         , 54.175, 12.058
tur, 10832, 19981022,         , 48.585,  9.782
umd, 10356, 19960625,         , 52.160, 11.176
